,0_0_0,0_0_1,0_0_2,0_1_0,0_1_1,0_2_0,0_3_2,1_0_0,1_1_0,2_0_0,2_0_1,2_1_0,2_1_1,3_0_0,4_0_0,5_0_0,6_0_0,6_6_6,9_9_9
0_0_0,0.6189975259311008,0.6787812282653484,0.6968152624746046,0.5933580946922727,0.5563936780101126,0.4841112989517203,0.7186310718349745,0.5273876364985446,0.46280387705753234,0.5673423014616447,0.31840156520790786,0.13460754934076008,0.4259907805575308,0.7829986247727699,0.893742662450042,0.754662147469713,0.6564091286616897,0.017176385482193846,0.04240516566422521
0_0_1,0.0722911474070359,0.03301531893178968,0.0862087593118332,0.22046905524217264,0.1052976035864393,0.006406240019440551,0.03753478496243463,0.08896872814819504,0.0018592289821496271,0.08717076976846871,0.008351601282106285,0.002668806269381805,0.0021326164901310216,0.002476224032726596,0.009903816809150548,0.05116357560027728,0.027723210423612636,0.01915871253933244,0.020259535359161546
0_0_2,0.024999223653979788,0.03926544426328861,0.0007842455544059695,0.0003956325933010711,0.001228419806372322,0.0020993372495502734,0.0013280823619559318,0.0861153629504841,0.015411815592729257,0.0027298867350723215,0.0021531711487050216,0.03420520143907206,0.4497045362729876,0.0018192263966760546,0.006188329542709148,0.0009321704673519373,0.05117379952331837,0.037872596725635095,0.0311949257798524
0_1_0,0.034734958273815904,0.0010108849331677762,0.09856643310413235,0.07359797174362544,0.0026564353430913465,0.10724915397723767,0.026504903319263046,0.030194385366339702,0.0035784856643461,0.09224133786921491,0.2927663785425353,0.043032418449287145,0.005324401654728796,0.0053016136472158705,0.007571957477326395,0.014218733790010962,0.021709050404578982,0.02454728379648139,0.04626479277839861
0_1_1,0.010613295140146963,0.0014909058185826835,0.07317465042992594,0.009416438207198721,0.0027587761022127505,0.11023906776748986,0.019398970090583032,0.05740834709631284,0.0069229956348867295,0.08627811870097729,0.0006224939610429865,0.05106947635243069,0.00021382038689290656,0.004824439272334721,0.006489483829002449,0.005130912167085389,0.01309180692274247,0.16956548837881147,0.14248027888717132
0_2_0,0.017647448094816425,0.025410560337684938,7.224623291838693e-05,0.0041157798143575414,0.0023465931506579407,0.0006379708555895971,0.011741847979053702,0.0010419273101676747,0.12683412378427047,0.04451231279786337,0.0022624126257854184,0.15626360623890226,0.018532188182656686,0.0006047439751455002,0.0013094776835812514,0.013696872897129392,0.033637699418412645,0.004357582216717269,0.05068541433863537
0_3_2,3.327841001356756e-05,0.002209732592967114,0.003359106480722621,0.010385315887402326,0.0007086200876066998,0.0009679880944651119,0.015222748372969394,0.03084620518241743,0.010210529158778845,0.0013246523137249895,0.0026070253310342215,0.13074616206276019,0.03176791046983314,0.0003886503825543724,0.00020866042520568164,0.020834882588311877,0.008213282807714332,0.17255657575046204,0.05790556252478972
1_0_0,0.07505048760685086,0.15201401747172563,0.0011895356203751397,0.06122251160166227,0.10415877048307223,0.0009109333114163803,0.0015265149707808607,0.13126376960731867,0.16278982691590851,0.05563337649948873,0.003362719279080651,0.06791950671897948,0.0005484539062539334,0.0016498131820448763,0.004251920032073488,0.03816565585079906,0.0013406236747275397,0.052339280998314294,0.056454311856289165
1_1_0,0.013972368991989923,0.0002896344699466816,0.006657078368844939,0.0004965060810598515,0.002723759105920682,0.1351624408074063,0.0013203936313954225,6.999172929055536e-05,0.17122180261303271,0.000237164271856969,0.016712201931420978,0.05676048213020963,0.00026532577106584725,0.0030503889869851223,0.014323385894890522,0.03218267194611803,0.0442297545459612,0.07688835077140142,0.014014774726498001
2_0_0,0.05702026808669103,0.0296617572496471,0.0014029141999459924,0.004796054114756952,0.1964013489728821,0.1111613478864062,0.017229288520052993,0.003891322850980297,0.0015810108414060424,0.04415136783806719,0.028087516044613296,0.10797746684263548,0.007512114924068155,0.09009333520484596,0.010847684314458485,0.01759822001183855,0.010313458571640354,0.011988931684503252,0.11510171979176753
2_0_1,0.00017646133341542585,0.031225791144747425,0.0031556167039614546,0.0012849869087967853,5.047235567101945e-05,0.011685479514255012,0.026433548771033107,0.0022259931006796065,0.0005396015314117962,0.00436861105514726,0.2237364857021424,0.00044258784970571983,0.011449783930823673,0.07213255627965831,0.013011799612777432,0.005222762754318046,0.04893805500936763,0.04576108587573542,0.05148085971225562
2_1_0,0.0005855976555926481,0.000993167841446242,0.0015306464176732023,0.0013692458899617723,0.00047042318705553304,0.0014834202641450952,0.011441346504470491,0.003132181214375054,0.004159775182186949,0.0021926595633751517,0.007181723378424131,0.042868729160755924,0.00048212120680914946,0.001993913809348084,0.004435515876695194,0.00954013310642803,0.000985070549966184,0.006557801261057899,0.1227473622497015
2_1_1,0.00600956429009242,0.0002762119488519793,0.007927933514773998,0.0030233957344900776,0.006718661038618531,0.0010939574472558237,0.006147576449610972,0.002289756287428732,0.0008862146529382743,0.0011538446910065966,0.007453148156515982,0.02174546237715509,0.006093386095466144,0.0003767339897942491,0.008189639861302006,0.00132016390015244,0.003868801453113194,0.03556571402844235,0.0038823588127653683
3_0_0,0.03995417259826249,0.00018134256192504512,0.0017197275205050688,0.0057769727151062164,0.0030078875181527957,0.0054921076770207775,0.007813318168248866,0.0011853278906906258,0.003197458313949017,0.0006445059166893586,0.05270587534741532,0.051020477343001205,0.008367575209693806,0.004171065182330793,0.006307508643345365,0.0008425684182229659,0.042068720623491866,0.039042208911791,0.06281063388844772
4_0_0,0.015481248352761896,0.0012345182349089415,0.0007342733903179994,0.0014158017378524915,0.001273571794535588,0.002123702691917947,0.04936368505150281,0.030978046765571962,0.002375580953227541,0.003059315561368498,0.006451572175572181,0.048056815861689715,0.0017095693701842478,0.007265439676692009,0.003588559787190153,0.008615691285358124,0.0033085234589307552,0.11467889827004818,0.0014175699905976777
5_0_0,0.007593711197924832,0.0015373212595123076,0.00012630959139164796,0.0038923394069962946,0.006069119824800178,0.014515228804201289,0.00011739454378852146,0.00012977266416502252,0.015539675594400455,0.0027844319410285415,0.0002759091860459107,0.018349316441773553,0.01621601471752271,0.017145373676826958,0.004596010769446003,0.010405927106396392,0.0067819111603789695,0.037078944633408654,0.0007663674562504643
6_0_0,0.004757245198822777,0.000575705240043392,0.006296688939461153,0.0028129102130628474,0.0020962916260974422,0.002423904185577063,0.008268110464741319,0.000552224948943332,0.006639662629375054,7.125881235718346e-05,0.005342859548976512,0.02484829318003999,0.0022923326092933937,0.0004266729832342497,0.00171298498906906,0.0145241554031915,0.01223678690331273,0.045605493077033564,0.1391564312734279
6_6_6,2.2193486255524882e-05,7.3690416915304e-05,0.0031497829734721135,0.0016238014377896685,0.0009866634499603854,0.001114569553996525,0.01019686220770281,0.00021977773786004083,0.0025472789334499285,0.0020545774025067212,0.01567923144391775,0.005181426157798355,0.001428415273800157,0.0016562926853108705,0.0015661592887787523,0.0007290152128933014,0.004870862067805713,0.08476761623857555,0.025031790597155924
9_9_9,5.980429043075227e-05,0.0007527670175007064,0.007128789170734523,0.00054718597813404,0.0046529045567404006,0.0011218509409080776,0.029779551795437263,0.0020992426502342925,0.000901055964020471,0.0020495068001415936,0.00584610970675795,0.002236215783661665,0.009968652970257891,0.0016248918635052775,0.001754442712956213,0.0002137400244034731,0.009099453819235048,0.004491049360054745,0.015940144312608845
