stateIndex,State,Frequency,Probability
0,0_0_0,35.0,0.7
1,0_0_1,1.0,0.02
2,0_0_2,1.0,0.02
3,0_0_3,0.0,0.0
4,0_0_4,0.0,0.0
5,0_0_5,0.0,0.0
6,0_0_6,0.0,0.0
7,0_1_0,0.0,0.0
8,0_1_1,0.0,0.0
9,0_1_2,0.0,0.0
10,0_1_3,0.0,0.0
11,0_1_4,0.0,0.0
12,0_1_5,0.0,0.0
13,0_2_0,1.0,0.02
14,0_2_1,0.0,0.0
15,0_2_2,0.0,0.0
16,0_2_3,0.0,0.0
17,0_2_4,0.0,0.0
18,0_3_0,0.0,0.0
19,0_3_1,0.0,0.0
20,0_3_2,0.0,0.0
21,0_3_3,0.0,0.0
22,0_4_0,0.0,0.0
23,0_4_1,0.0,0.0
24,0_4_2,0.0,0.0
25,0_5_0,1.0,0.02
26,0_5_1,0.0,0.0
27,0_6_0,0.0,0.0
28,1_0_0,0.0,0.0
29,1_0_1,0.0,0.0
30,1_0_2,0.0,0.0
31,1_0_3,0.0,0.0
32,1_0_4,0.0,0.0
33,1_0_5,0.0,0.0
34,1_1_0,0.0,0.0
35,1_1_1,0.0,0.0
36,1_1_2,0.0,0.0
37,1_1_3,0.0,0.0
38,1_1_4,0.0,0.0
39,1_2_0,0.0,0.0
40,1_2_1,0.0,0.0
41,1_2_2,0.0,0.0
42,1_2_3,0.0,0.0
43,1_3_0,0.0,0.0
44,1_3_1,0.0,0.0
45,1_3_2,0.0,0.0
46,1_4_0,0.0,0.0
47,1_4_1,0.0,0.0
48,1_5_0,0.0,0.0
49,2_0_0,1.0,0.02
50,2_0_1,0.0,0.0
51,2_0_2,0.0,0.0
52,2_0_3,0.0,0.0
53,2_0_4,0.0,0.0
54,2_1_0,1.0,0.02
55,2_1_1,0.0,0.0
56,2_1_2,0.0,0.0
57,2_1_3,0.0,0.0
58,2_2_0,0.0,0.0
59,2_2_1,0.0,0.0
60,2_2_2,0.0,0.0
61,2_3_0,0.0,0.0
62,2_3_1,0.0,0.0
63,2_4_0,1.0,0.02
64,3_0_0,1.0,0.02
65,3_0_1,0.0,0.0
66,3_0_2,0.0,0.0
67,3_0_3,0.0,0.0
68,3_1_0,0.0,0.0
69,3_1_1,0.0,0.0
70,3_1_2,0.0,0.0
71,3_2_0,0.0,0.0
72,3_2_1,0.0,0.0
73,3_3_0,0.0,0.0
74,4_0_0,2.0,0.04
75,4_0_1,0.0,0.0
76,4_0_2,0.0,0.0
77,4_1_0,0.0,0.0
78,4_1_1,0.0,0.0
79,4_2_0,0.0,0.0
80,5_0_0,1.0,0.02
81,5_0_1,0.0,0.0
82,5_1_0,0.0,0.0
83,6_0_0,1.0,0.02
